playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478975,2022,Mason Marchment,DAL,L,other,67,1504.0,30.0,9.5,0.72,0.58,0.51,0.56,0.55,0.54,145.0,5.28,2.95,0.26,0.45,0.16,2.29,1.89,2.95,2.95,2.95,0.0,0.0,4.0,4.0,3.0,11.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,6.0,0.03,0.1,2.82,0.0,0.0,2.0,11.0,8.0,8.0,1.0,0.08,0.49,0.0,3.02,3.02,3.02,30.0,9.0,5.0,0.0,16.0,8.0,2.0,6.0,14.0,0.0,1.0,3406.0,0.0,0.0,0.0,1.0,19.31,6.6,6.49,6.6,6.49,19.0,9.0,5.0,33.0,6.0,3.0,0.0,12.0,4.0,12.0,0.45,0.51,5.65,2.0,0.0,4.0,33.0,28.0,28.0,0.38,0.6,0.6,6.38,6.38,6.36,17.13,2.61,2.49,2.61,2.49,18.0,5.0,9.0,32.0,4.0,2.0,2.0,11.0,9.0,3.0,0.5,1.14,0.97,1.0,1.0,2.0,32.0,23.0,23.0,0.35,0.54,0.54,2.41,2.41,2.36,13.35,9.62,101.0,79.0,0.0,0.0,1.0,0.0,0.0,0.0
8478975,2022,Mason Marchment,DAL,L,all,67,63228.0,1344.0,31.25,0.57,0.54,0.53,0.51,0.53,0.5,364.0,154.17,18.75,10.67,33.74,5.14,81.77,58.93,18.14,19.05,18.43,13.0,6.0,148.0,61.0,53.0,262.0,31.0,12.0,18.0,1.0,23.0,9.0,54.0,93.0,136.0,197.0,27.0,60.0,10.0,88.0,38.0,41.0,141.0,45.0,23.0,4.36,5.69,8.69,5.0,3.0,4.0,268.51,209.0,212.96,10.0,2.36,3.63,3.95,17.16,17.49,17.15,1344.0,197.0,135.0,190.0,822.0,223.0,192.0,187.0,742.0,10.0,15.0,181658.0,60.0,60.0,26.0,39.0,595.83,58.13,55.75,59.03,56.61,578.0,248.0,272.0,1098.0,47.0,57.0,2.0,614.0,150.0,62.0,17.65,18.75,21.75,18.0,12.0,17.0,1120.44,826.0,839.04,8.8,10.9,10.6,56.34,57.18,56.01,530.92,43.46,42.3,43.02,41.87,543.0,188.0,251.0,982.0,44.0,39.0,5.0,546.0,151.0,34.0,15.53,18.63,9.3,17.0,19.0,8.0,968.57,731.0,723.71,7.13,7.31,7.39,43.2,42.72,42.11,175.64,147.12,3045.0,2896.0,0.0,0.0,0.0,0.0,0.0,0.0
8478975,2022,Mason Marchment,DAL,L,5on5,67,55441.0,1175.0,31.25,0.49,0.54,0.49,0.52,0.49,0.51,255.0,120.11,10.7,7.87,27.32,3.98,64.67,48.46,10.34,11.01,10.63,9.0,6.0,116.0,47.0,45.0,208.0,23.0,8.0,12.0,0.0,19.0,7.0,41.0,76.0,108.0,155.0,23.0,52.0,6.0,85.0,34.0,36.0,117.0,37.0,9.0,3.93,4.62,2.16,5.0,3.0,0.0,214.51,163.0,166.96,9.0,1.64,2.12,1.75,10.59,10.91,10.7,1175.0,151.0,123.0,185.0,716.0,178.0,182.0,163.0,652.0,6.0,10.0,142032.0,52.0,58.0,25.0,37.0,470.56,38.07,36.54,38.96,37.39,451.0,203.0,226.0,880.0,31.0,38.0,1.0,499.0,121.0,34.0,14.54,14.84,8.69,14.0,11.0,6.0,902.44,654.0,667.04,6.25,6.42,6.55,37.76,38.61,37.89,494.31,38.92,37.9,38.47,37.47,500.0,181.0,235.0,916.0,39.0,37.0,3.0,515.0,137.0,29.0,14.31,16.87,7.74,15.0,18.0,6.0,902.57,681.0,673.71,6.53,6.77,6.77,38.67,38.19,37.66,107.49,92.88,2345.0,2131.0,1.54,1.14,38.0,29.0,28.0,23.0
8478975,2022,Mason Marchment,DAL,L,4on5,67,51.0,5.0,3.22,1.0,0.1,1.0,0.12,1.0,0.14,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1572.0,0.0,0.0,0.0,0.0,0.82,0.01,0.01,0.01,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.71,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8478975,2022,Mason Marchment,DAL,L,5on4,67,6232.0,134.0,28.91,0.91,0.9,0.87,0.87,0.87,0.86,362.0,27.96,4.98,2.48,5.86,0.97,14.39,8.31,4.73,4.98,4.73,3.0,0.0,27.0,10.0,4.0,41.0,5.0,2.0,4.0,1.0,4.0,2.0,13.0,12.0,25.0,35.0,2.0,4.0,4.0,3.0,0.0,3.0,23.0,6.0,8.0,0.4,0.86,3.72,0.0,0.0,2.0,41.0,37.0,37.0,0.0,0.63,1.02,2.2,3.41,3.41,3.29,134.0,37.0,5.0,5.0,87.0,36.0,8.0,18.0,72.0,4.0,0.0,12308.0,4.0,0.0,0.0,0.0,100.54,12.88,12.14,12.88,12.14,101.0,36.0,40.0,177.0,9.0,16.0,1.0,99.0,23.0,15.0,2.49,3.18,7.21,2.0,1.0,6.0,177.0,137.0,137.0,2.09,3.88,3.44,11.53,11.53,11.1,14.63,1.27,1.26,1.27,1.26,19.0,2.0,6.0,27.0,1.0,0.0,0.0,16.0,4.0,1.0,0.51,0.54,0.22,1.0,0.0,0.0,27.0,21.0,21.0,0.18,0.0,0.0,1.45,1.45,1.44,37.46,4.19,419.0,61.0,0.02,0.18,1.0,1.0,1.0,1.0
8480950,2022,Ilya Lyubushkin,BUF,D,other,56,891.0,19.0,5.85,0.52,0.48,0.23,0.45,0.22,0.43,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,9.0,0.0,10.0,0.0,3.0,5.0,11.0,0.0,0.0,2830.0,0.0,0.0,0.0,3.0,4.52,2.13,2.03,2.13,2.03,5.0,2.0,2.0,9.0,3.0,1.0,0.0,2.0,1.0,4.0,0.06,0.15,1.92,0.0,1.0,2.0,9.0,7.0,7.0,0.07,0.27,0.27,1.93,1.93,1.85,17.02,1.94,1.84,1.94,1.84,17.0,8.0,6.0,31.0,5.0,0.0,0.0,14.0,11.0,0.0,0.74,1.2,0.0,2.0,3.0,0.0,31.0,25.0,25.0,0.43,0.0,0.0,2.37,2.37,2.25,9.37,10.11,62.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,all,56,50147.0,1225.0,11.37,0.38,0.51,0.42,0.54,0.41,0.52,276.0,31.55,1.2,1.56,8.87,1.01,17.29,14.07,1.17,1.18,1.15,5.0,6.0,35.0,9.0,23.0,67.0,13.0,2.0,0.0,0.0,7.0,1.0,17.0,17.0,33.0,42.0,17.0,34.0,0.0,89.0,23.0,14.0,42.0,2.0,0.0,0.92,0.28,0.0,1.0,1.0,0.0,65.47,44.0,43.2,11.0,0.31,0.0,0.02,1.49,1.46,1.43,1225.0,85.0,221.0,184.0,735.0,186.0,157.0,150.0,732.0,0.0,0.0,153346.0,34.0,20.0,10.0,82.0,358.26,34.82,33.1,34.34,32.68,352.0,134.0,164.0,650.0,33.0,40.0,3.0,355.0,95.0,36.0,11.62,12.23,10.97,12.0,14.0,7.0,644.36,486.0,480.19,4.83,8.81,8.81,30.84,30.55,30.08,518.13,55.77,53.55,55.96,53.75,520.0,188.0,189.0,897.0,63.0,53.0,13.0,486.0,161.0,61.0,13.79,19.68,22.3,13.0,20.0,30.0,902.62,708.0,712.42,8.76,11.33,11.04,53.49,53.75,52.04,151.99,145.16,2604.0,2227.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on5,56,42469.0,1042.0,11.37,0.47,0.49,0.49,0.53,0.48,0.51,285.0,30.78,1.03,1.52,8.79,0.99,17.11,13.56,1.0,1.0,0.98,3.0,6.0,34.0,9.0,23.0,66.0,10.0,1.0,0.0,0.0,7.0,1.0,17.0,17.0,33.0,42.0,15.0,30.0,0.0,74.0,18.0,13.0,42.0,1.0,0.0,0.92,0.11,0.0,1.0,0.0,0.0,64.47,43.0,42.2,10.0,0.3,0.0,0.02,1.31,1.28,1.25,1042.0,83.0,130.0,171.0,658.0,180.0,126.0,125.0,611.0,0.0,0.0,124621.0,30.0,16.0,8.0,63.0,333.56,30.1,28.57,29.62,28.14,323.0,130.0,159.0,612.0,27.0,36.0,2.0,339.0,84.0,30.0,11.09,10.63,8.38,12.0,11.0,4.0,606.36,453.0,447.19,4.51,7.72,7.72,26.89,26.6,26.21,365.13,34.32,33.17,34.51,33.38,370.0,128.0,151.0,649.0,32.0,39.0,9.0,350.0,114.0,34.0,10.45,14.2,9.67,10.0,13.0,9.0,654.62,498.0,502.42,5.07,8.64,8.35,31.04,31.31,30.71,95.0,100.6,2002.0,1809.0,4.49,0.37,93.0,9.0,73.0,7.0
8480950,2022,Ilya Lyubushkin,BUF,D,4on5,56,6753.0,161.0,9.82,0.11,0.18,0.12,0.18,0.12,0.19,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,1.0,82.0,13.0,65.0,6.0,28.0,20.0,107.0,0.0,0.0,6340.0,4.0,0.0,0.0,0.0,18.74,2.35,2.27,2.35,2.27,23.0,1.0,3.0,27.0,2.0,3.0,1.0,13.0,9.0,2.0,0.4,1.28,0.67,0.0,1.0,1.0,27.0,24.0,24.0,0.23,0.82,0.82,1.76,1.76,1.75,130.04,18.55,17.78,18.55,17.78,127.0,50.0,30.0,207.0,25.0,14.0,4.0,118.0,33.0,26.0,2.55,3.93,12.07,1.0,4.0,20.0,207.0,177.0,177.0,3.12,2.69,2.69,18.99,18.99,18.22,2.91,13.16,39.0,182.0,0.85,0.0,9.0,1.0,7.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on4,56,34.0,3.0,-1.07,0.0,0.79,0.0,0.84,0.0,0.8,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1755.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.01,0.01,0.01,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01,0.01,0.01,4.26,1.16,57.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
